row: 1025 , cols: 29964, CPU data: 84.12 , GPU data: 87.32 are not equal, with difference (3.2022781372) 
row: 1025 , cols: 29965, CPU data: 77.99 , GPU data: 13.93 are not equal, with difference (-64.0587844849) 
row: 1025 , cols: 29966, CPU data: 12.17 , GPU data: 100.42 are not equal, with difference (88.2535934448) 
row: 1025 , cols: 29967, CPU data: 37.64 , GPU data: 12.17 are not equal, with difference (-25.4775333405) 
row: 1025 , cols: 29968, CPU data: 65.39 , GPU data: 70.77 are not equal, with difference (5.3831634521) 
row: 1025 , cols: 29969, CPU data: 97.19 , GPU data: 95.63 are not equal, with difference (-1.5506668091) 
row: 1025 , cols: 29970, CPU data: 108.07 , GPU data: 82.33 are not equal, with difference (-25.7454376221) 
row: 1025 , cols: 29971, CPU data: 25.30 , GPU data: 55.07 are not equal, with difference (29.7744560242) 
row: 1025 , cols: 29972, CPU data: 16.16 , GPU data: 82.71 are not equal, with difference (66.5548400879) 
row: 1025 , cols: 29973, CPU data: 83.19 , GPU data: 51.61 are not equal, with difference (-31.5725860596) 
row: 1025 , cols: 29974, CPU data: 33.02 , GPU data: 86.68 are not equal, with difference (53.6681861877) 
row: 1025 , cols: 29975, CPU data: 99.85 , GPU data: 65.73 are not equal, with difference (-34.1155700684) 
row: 1025 , cols: 29976, CPU data: 33.24 , GPU data: 50.25 are not equal, with difference (17.0078392029) 
row: 1025 , cols: 29977, CPU data: 83.82 , GPU data: 82.71 are not equal, with difference (-1.1049346924) 
row: 1025 , cols: 29978, CPU data: 54.08 , GPU data: 107.82 are not equal, with difference (53.7406578064) 
row: 1025 , cols: 29979, CPU data: 107.33 , GPU data: 41.77 are not equal, with difference (-65.5580596924) 
row: 1025 , cols: 29980, CPU data: 93.38 , GPU data: 83.52 are not equal, with difference (-9.8584899902) 
row: 1025 , cols: 29981, CPU data: 82.46 , GPU data: 52.63 are not equal, with difference (-29.8313217163) 
row: 1025 , cols: 29982, CPU data: 46.07 , GPU data: 47.85 are not equal, with difference (1.7887725830) 
row: 1025 , cols: 29983, CPU data: 42.95 , GPU data: 78.10 are not equal, with difference (35.1490287781) 
row: 1025 , cols: 30016, CPU data: 94.15 , GPU data: 12.81 are not equal, with difference (-81.3478775024) 
row: 1025 , cols: 30017, CPU data: 54.20 , GPU data: 67.07 are not equal, with difference (12.8638114929) 
row: 1025 , cols: 30018, CPU data: 56.59 , GPU data: 91.92 are not equal, with difference (35.3376655579) 
row: 1025 , cols: 30019, CPU data: 43.08 , GPU data: 80.60 are not equal, with difference (37.5226554871) 
row: 1025 , cols: 30020, CPU data: 38.05 , GPU data: 10.44 are not equal, with difference (-27.6122894287) 
row: 1025 , cols: 30021, CPU data: 107.20 , GPU data: 70.18 are not equal, with difference (-37.0223999023) 
row: 1025 , cols: 30022, CPU data: 74.89 , GPU data: 95.35 are not equal, with difference (20.4654006958) 
row: 1025 , cols: 30023, CPU data: 57.14 , GPU data: 46.01 are not equal, with difference (-11.1293106079) 
row: 1025 , cols: 30024, CPU data: 45.89 , GPU data: 76.06 are not equal, with difference (30.1680145264) 
row: 1025 , cols: 30025, CPU data: 67.62 , GPU data: 6.08 are not equal, with difference (-61.5411987305) 
row: 1025 , cols: 30026, CPU data: 84.48 , GPU data: 64.54 are not equal, with difference (-19.9439544678) 
row: 1025 , cols: 30027, CPU data: 91.55 , GPU data: 12.81 are not equal, with difference (-78.7415466309) 
row: 1025 , cols: 30028, CPU data: 96.05 , GPU data: 59.91 are not equal, with difference (-36.1386032104) 
row: 1025 , cols: 30029, CPU data: 80.02 , GPU data: 3.16 are not equal, with difference (-76.8627166748) 
row: 1025 , cols: 30030, CPU data: 57.71 , GPU data: 61.39 are not equal, with difference (3.6860275269) 
row: 1025 , cols: 30031, CPU data: 42.19 , GPU data: 96.17 are not equal, with difference (53.9764747620) 
row: 1025 , cols: 30032, CPU data: 94.73 , GPU data: 105.42 are not equal, with difference (10.6970367432) 
row: 1025 , cols: 30033, CPU data: 89.90 , GPU data: 34.79 are not equal, with difference (-55.1148948669) 
row: 1025 , cols: 30034, CPU data: 47.38 , GPU data: 40.52 are not equal, with difference (-6.8598327637) 
row: 1025 , cols: 30035, CPU data: 68.26 , GPU data: 76.69 are not equal, with difference (8.4300079346) 
row: 1025 , cols: 30036, CPU data: 21.93 , GPU data: 48.10 are not equal, with difference (26.1723403931) 
row: 1025 , cols: 30037, CPU data: 71.25 , GPU data: 92.44 are not equal, with difference (21.1861038208) 
row: 1025 , cols: 30038, CPU data: 57.69 , GPU data: 27.80 are not equal, with difference (-29.8859424591) 
row: 1025 , cols: 30039, CPU data: 1.41 , GPU data: 35.11 are not equal, with difference (33.6998863220) 
row: 1025 , cols: 30040, CPU data: 36.89 , GPU data: 101.32 are not equal, with difference (64.4246063232) 
row: 1025 , cols: 30041, CPU data: 64.03 , GPU data: 9.85 are not equal, with difference (-54.1823844910) 
row: 1025 , cols: 30042, CPU data: 42.72 , GPU data: 46.53 are not equal, with difference (3.8095397949) 
row: 1025 , cols: 30043, CPU data: 61.29 , GPU data: 95.75 are not equal, with difference (34.4605255127) 
row: 1025 , cols: 30044, CPU data: 52.50 , GPU data: 56.60 are not equal, with difference (4.1062660217) 
row: 1025 , cols: 30045, CPU data: 62.30 , GPU data: 31.78 are not equal, with difference (-30.5171756744) 
row: 1025 , cols: 30046, CPU data: 90.44 , GPU data: 66.89 are not equal, with difference (-23.5553894043) 
row: 1025 , cols: 30047, CPU data: 79.93 , GPU data: 31.14 are not equal, with difference (-48.7863998413) 
row: 1025 , cols: 30208, CPU data: 104.48 , GPU data: 70.71 are not equal, with difference (-33.7737731934) 
row: 1025 , cols: 30209, CPU data: 47.07 , GPU data: 58.60 are not equal, with difference (11.5259323120) 
row: 1025 , cols: 30210, CPU data: 48.27 , GPU data: 57.38 are not equal, with difference (9.1145935059) 
row: 1025 , cols: 30211, CPU data: 37.64 , GPU data: 8.06 are not equal, with difference (-29.5808010101) 
row: 1025 , cols: 30212, CPU data: 44.29 , GPU data: 112.51 are not equal, with difference (68.2133026123) 
